x,y,z
1,0,1.008664916
0,1,1.007825032
1,1,2.014101778
2,1,3.016049281
1,2,3.016029322
0,3,3.030775
3,1,4.026431867
2,2,4.002603254
1,3,4.027185561
4,1,5.035311492
3,2,5.012057224
2,3,5.0125378
1,4,5.03987
5,1,6.044955437
4,2,6.018885889
3,3,6.015122887
2,4,6.019726409
1,5,6.0508
6,1,7.052749
5,2,7.027990652
4,3,7.016003434
3,4,7.016928714
2,5,7.029712
6,2,8.033934388
5,3,8.022486244
4,4,8.005305102
3,5,8.024607315
2,6,8.037643039
7,2,9.043946414
6,3,9.026790191
5,4,9.012183062
4,5,9.013329645
3,6,9.031037202
8,2,10.05281531
7,3,10.03548345
6,4,10.01353469
5,5,10.01293686
4,6,10.01685322
3,7,10.04165354
8,3,11.04372358
7,4,11.02166108
6,5,11.00930517
5,6,11.0114326
4,7,11.02615759
3,8,11.05124983
9,3,12.05261394
8,4,12.02692208
7,5,12.01435264
6,6,12
5,7,12.01861318
4,8,12.03436773
10,3,13.0611715
9,4,13.03613451
8,5,13.01777998
7,6,13.00335484
6,7,13.00573861
5,8,13.02481544
4,9,13.045121
10,4,14.04289292
9,5,14.02540401
8,6,14.00324199
7,7,14.003074
6,8,14.00859671
5,9,14.0343152
11,4,15.05349022
10,5,15.03108702
9,6,15.01059926
8,7,15.0001089
7,8,15.00306564
6,9,15.01778514
5,10,15.04317298
12,4,16.06167204
11,5,16.03984105
10,6,16.01470126
9,7,16.00610193
8,8,15.99491462
7,9,16.01146028
6,10,16.02575086
12,5,17.0469314
11,6,17.02257865
10,7,17.00844888
9,8,16.99913176
8,9,17.00209524
7,10,17.01771396
6,11,17.037273
13,5,18.05560168
12,6,18.02675193
11,7,18.01407756
10,8,17.99915961
9,9,18.00093732
8,10,18.0057087
7,11,18.02687939
14,5,19.064166
13,6,19.03479759
12,7,19.01702239
11,8,19.00357797
10,9,18.99840316
9,10,19.00188091
8,11,19.01388026
7,12,19.03417992
15,5,20.07450564
14,6,20.04026173
13,7,20.0233673
12,8,20.00407536
11,9,19.99998125
10,10,19.99244018
9,11,20.0073543
8,12,20.01876308
16,5,21.08414749
15,6,21.049
14,7,21.02708757
13,8,21.00865495
12,9,20.99994889
11,10,20.99384669
10,11,20.99765446
9,12,21.01170576
8,13,21.029082
16,6,22.05755399
15,7,22.03410092
14,8,22.00996574
13,9,22.00299881
12,10,21.99138511
11,11,21.99443755
10,12,21.9995706
9,13,22.01954
8,14,22.036114
17,6,23.06889
16,7,23.039421
15,8,23.01569669
14,9,23.00352688
13,10,22.99446691
12,11,22.98976928
11,12,22.99412377
10,13,23.00724435
9,14,23.025711
17,7,24.05039
16,8,24.019861
15,9,24.00809937
14,10,23.99361065
13,11,23.99096301
12,12,23.98504169
11,13,23.9999476
10,14,24.01153543
9,15,24.036522
